County,Value_Percent,Families_Below_Poverty,Rank_within_US_of_3143 _counties
Knox County,29.6,2204,"3,126"
Wolfe County,29.2,465,"3,124"
McCreary County,26.5,917,"3,111"
Clay County,26.1,1342,"3,109"
Magoffin County,25.0,746,"3,098"
Harlan County,24.9,1775,"3,097"
Cumberland County,23.8,329,"3,084"
Floyd County,22.9,2287,"3,072"
Leslie County,22.9,532,"3,069"
Letcher County,22.6,1242,"3,065"
Estill County,22.3,877,"3,059"
Breathitt County,22.2,794,"3,057"
Fulton County,22.1,311,"3,056"
Lewis County,21.8,689,"3,044"
Knott County,21.7,825,"3,041"
Lawrence County,21.6,841,"3,035"
Bell County,21.5,1348,"3,031"
Lee County,21.2,338,"3,020"
Owsley County,20.8,175,"3,007"
Casey County,20.1,794,"2,988"
Rockcastle County,19.9,868,"2,982"
Perry County,19.9,1541,"2,981"
Carroll County,19.9,525,"2,980"
Menifee County,19.2,293,"2,952"
Carter County,18.9,1255,"2,928"
Martin County,18.7,483,"2,924"
Monroe County,18.4,549,"2,914"
Whitley County,18.4,1689,"2,913"
Pike County,18.2,2898,"2,904"
Pulaski County,17.9,3067,"2,882"
Russell County,17.9,803,"2,881"
Hart County,17.3,813,"2,847"
Metcalfe County,17.3,499,"2,844"
Bath County,17.0,575,"2,834"
Rowan County,16.9,914,"2,829"
Powell County,16.8,553,"2,819"
Robertson County,16.8,91,"2,812"
Morgan County,16.8,536,"2,806"
Wayne County,16.6,867,"2,796"
Jackson County,16.5,589,"2,787"
Johnson County,16.4,1032,"2,785"
Fleming County,16.3,651,"2,769"
Laurel County,16.2,2750,"2,758"
Breckinridge County,15.9,804,"2,730"
Marion County,15.9,755,"2,728"
Elliott County,15.8,241,"2,720"
Green County,15.6,468,"2,707"
Carlisle County,15.5,206,"2,694"
Barren County,15.2,1772,"2,668"
Larue County,15.0,598,"2,654"
Adair County,15.0,677,"2,648"
Mason County,14.7,646,"2,620"
Clinton County,14.6,330,"2,609"
Grayson County,14.2,877,"2,565"
Henderson County,14.0,1708,"2,545"
Gallatin County,14.0,302,"2,542"
Graves County,13.9,1310,"2,524"
Trigg County,13.9,542,"2,518"
Nicholas County,13.7,246,"2,500"
Caldwell County,13.6,462,"2,485"
Montgomery County,13.6,1018,"2,484"
Hopkins County,13.5,1644,"2,467"
Todd County,13.4,432,"2,457"
Butler County,13.3,420,"2,449"
Garrard County,12.8,604,"2,382"
Ballard County,12.8,260,"2,368"
Allen County,12.8,715,"2,366"
Christian County,12.6,2111,"2,344"
Webster County,12.6,434,"2,342"
Lincoln County,12.5,859,"2,308"
Hickman County,12.4,141,"2,288"
Boyd County,12.3,1476,"2,271"
Harrison County,12.0,620,"2,238"
Hancock County,12.0,299,"2,230"
Crittenden County,12.0,261,"2,223"
Livingston County,11.9,288,"2,212"
Warren County,11.8,3792,"2,203"
Pendleton County,11.6,424,"2,154"
Bracken County,11.5,256,"2,134"
Calloway County,11.5,1004,"2,128"
Simpson County,11.4,577,"2,113"
Madison County,11.4,2634,"2,112"
Greenup County,11.2,1080,"2,071"
Bourbon County,11.2,569,"2,056"
McCracken County,11.1,1868,"2,042"
Muhlenberg County,11.1,904,"2,038"
Boyle County,11.0,846,"2,022"
Meade County,11.0,832,"2,017"
Daviess County,10.9,2921,"1,992"
Grant County,10.9,691,"1,987"
Logan County,10.7,801,"1,943"
Union County,10.6,366,"1,934"
Jefferson County,10.2,19481,"1,826"
Washington County,10.1,296,"1,813"
Trimble County,10.0,231,"1,799"
Edmonson County,10.0,326,"1,778"
Henry County,9.9,404,"1,755"
Franklin County,9.8,1334,"1,733"
Anderson County,9.7,621,"1,718"
Clark County,9.7,939,"1,705"
Jessamine County,9.6,1276,"1,675"
Owen County,9.3,259,"1,614"
Ohio County,9.3,587,"1,612"
Fayette County,8.7,6638,"1,466"
Lyon County,8.7,169,"1,460"
Bullitt County,8.3,1912,"1,339"
Campbell County,7.9,1838,"1,212"
Kenton County,7.9,3321,"1,202"
Taylor County,7.8,506,"1,156"
Hardin County,7.6,2138,"1,108"
Marshall County,7.2,643,982
Mercer County,6.8,386,864
Scott County,6.7,1041,844
McLean County,6.1,157,662
Nelson County,5.9,750,611
Woodford County,5.7,429,560
Shelby County,5.1,652,408
Spencer County,3.8,214,178
Boone County,3.1,1096,93
Oldham County,3.0,547,84
