Country Name,"GDP Per Capita (Current US $ , 2020)"
Afghanistan,517
Angola,1776
Albania,5246
Algeria,3307
United Arab Emirates,36285
Argentina,8579
Armenia,4266
American Samoa,12845
Antigua and Barbuda,13993
Australia,51693
Austria,48587
Azerbaijan,4221
Burundi,239
Belgium,45159
Benin,1291
Burkina Faso,858
Bangladesh,1962
Bulgaria,10079
Bahrain,20410
"Bahamas, The",25194
Bosnia and Herzegovina,6080
Belarus,6424
Belize,4115
Bermuda,107079
Bolivia,3133
Brazil,6797
Barbados,15374
Brunei Darussalam,27443
Bhutan,3001
Botswana,6405
Central African Republic,493
Canada,43295
Switzerland,87097
Chile,13232
China,10435
Cote d'Ivoire,2326
Cameroon,1537
"Congo, Dem. Rep.",544
"Congo, Rep.",1846
Colombia,5335
Comoros,1421
Cabo Verde,3064
Costa Rica,12141
Cuba,9478
Curacao,16746
Cayman Islands,85083
Cyprus,27528
Czech Republic,22931
Germany,46208
Djibouti,3425
Dominica,7004
Denmark,61063
Dominican Republic,7268
Ecuador,5600
"Egypt, Arab Rep.",3569
Spain,27063
Estonia,23027
Ethiopia,936
Finland,48745
Fiji,5058
France,39030
"Micronesia, Fed. Sts.",3565
Gabon,6882
United Kingdom,41059
Georgia,4267
Ghana,2206
Guinea,1194
"Gambia, The",773
Guinea-Bissau,728
Equatorial Guinea,7143
Greece,17623
Grenada,9262
Guatemala,4603
Guam,34624
Guyana,6956
"Hong Kong SAR, China",46324
Honduras,2389
Croatia,14134
Haiti,1272
Hungary,15981
Indonesia,3870
India,1928
Ireland,85268
"Iran, Islamic Rep.",2422
Iraq,4146
Iceland,59270
Israel,44169
Italy,31714
Jamaica,4665
Jordan,4283
Japan,40193
Kazakhstan,9122
Kenya,1879
Kyrgyz Republic,1174
Cambodia,1544
Kiribati,1654
St. Kitts and Nevis,18438
"Korea, Rep.",31631
Kuwait,24812
Lao PDR,2630
Lebanon,4650
Liberia,633
Libya,3699
St. Lucia,8805
Sri Lanka,3681
Lesotho,875
Lithuania,20234
Luxembourg,116015
Latvia,17726
"Macao SAR, China",39403
Morocco,3059
Monaco,173688
Moldova,4547
Madagascar,471
Maldives,6924
Mexico,8329
Marshall Islands,4130
 Macedonia,5917
Mali,862
Malta,27885
Myanmar,1468
Montenegro,7677
Mongolia,4061
Mozambique,449
Mauritania,1702
Mauritius,8628
Malawi,637
Malaysia,10412
Namibia,4179
Niger,568
Nigeria,2097
Nicaragua,1905
Netherlands,52397
Norway,67330
Nepal,1155
Nauru,10580
New Zealand,41441
Oman,14485
Pakistan,1189
Panama,12510
Peru,6127
Philippines,3299
Palau,14244
Papua New Guinea,2757
Poland,15721
Puerto Rico,32291
Portugal,22176
Paraguay,5001
West Bank and Gaza,3240
Qatar,50124
Romania,12896
Russian Federation,10127
Rwanda,798
South Asia,1824
Saudi Arabia,20110
Sudan,486
Senegal,1472
Singapore,59798
Solomon Islands,2251
Sierra Leone,509
El Salvador,3799
Somalia,438
Serbia,7721
Sao Tome and Principe,2158
Suriname,4917
Slovak Republic,19267
Slovenia,25517
Sweden,52274
Eswatini,3424
Seychelles,10764
Turks and Caicos Islands,23880
Chad,659
Togo,915
Thailand,7187
Tajikistan,859
Tonga,4625
Trinidad and Tobago,15426
Tunisia,3522
Turkey,8536
Tuvalu,4143
Tanzania,1076
Uganda,822
Ukraine,3725
Uruguay,15438
United States,63593
Uzbekistan,1751
St. Vincent and the Grenadines,7278
Vietnam,2786
Vanuatu,2870
Samoa,4068
Kosovo,4347
South Africa,5656
Zambia,985
Zimbabwe,1215
